gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
Snord104,198.39801194864,22.1712624071879,4.05902098541003,NA,NA
Mir25,65.9645797576312,21.3525896831026,4.17357018785501,NA,NA
Snora64,30.3790409642577,7.62560792521202,1.26045302571707,5.14987172792029e-11,1.68357889905261e-08
Slc4a1,191.618968760682,6.66952498946981,0.615315542122595,2.12804214583579e-28,1.66966186762276e-24
Gypa,77.844331989848,6.53384387755361,0.853592006944545,1.9674576288955e-15,1.40333386875582e-12
Epb4.2,14.872728747323,6.51290065421202,1.35059538582825,1.12274590723121e-07,1.6313082200252e-05
Car1,73.0201106578147,6.48615924523362,0.796036012184516,3.93338176515214e-17,3.85766416617296e-14
Aldh1a1,13.6909637193299,6.46286011253548,1.29419107025965,5.25999227067099e-08,8.42242843993563e-06
Ermap,26.4004112721557,6.45609250788842,1.28000134476816,4.14453162816112e-08,6.91872237330896e-06
Pdzk1ip1,12.8673966223586,6.34083301256214,1.32787462508811,1.57624695058014e-07,2.20843456683067e-05
Nxpe2,12.3598999193041,6.25532064492079,1.3573658761987,3.33641645081174e-07,4.21510603525419e-05
Ces2g,11.5240122113489,6.18118110686099,1.33851809280087,3.38454856259258e-07,4.21510603525419e-05
Dmtn,11.6940364855117,6.17099555753221,1.36768263003393,5.083635767462e-07,5.78060959876911e-05
Rhd,59.6481148452756,6.15071214303043,0.858947451820953,1.08319073570506e-13,5.31169657021369e-11
Spta1,21.2168841860491,6.1503479999496,1.28466964570315,1.71716300501722e-07,2.32290705816639e-05
Tmcc2,48.4832090388612,6.14313615120317,1.00861857199626,1.47755763137175e-10,4.45881429836261e-08
Alas2,134.965915178441,6.14033653703205,0.660668435273193,2.08869219088976e-21,5.46262630990702e-18
Aqp1,91.70456428183,6.08601173025153,0.679361582983019,4.8042419176017e-20,7.53881641710058e-17
March8,10.8598960625417,6.05420090471573,1.38750816894646,9.12001161066576e-07,9.54074814630447e-05
Kel,20.0553473595168,6.03935984053222,1.31914604384377,4.33699395501932e-07,5.15576584410327e-05
Rhag,30.236721662625,5.9554455569547,1.11008095817821,1.15895626320757e-08,2.39293969503331e-06
Hba-a1,1159.17569266337,5.94631677035432,0.644949716802281,4.81048751402864e-21,9.43577125876717e-18
Add2,10.0227583702706,5.93851326999018,1.39985071661357,1.41616386458724e-06,0.000138890271019393
Sptb,17.8699149350601,5.91179487942399,1.29117010327748,4.69985534254534e-07,5.4228036790604e-05
Hba-a2,196.172751459276,5.88711901908126,1.17546439910338,7.53240162108535e-08,1.17183781090249e-05
Hbb-b1,4868.12190386257,5.875270277874,0.6236513798137,7.62038702829704e-22,2.98947783120093e-18
Slc38a5,9.5193431539434,5.85576264526834,1.41821566375898,2.032225609796e-06,0.000179155529600668
Snca,37.4181503049922,5.78096374625382,1.0058966889578,1.52753064988294e-09,3.86613079967146e-07
Apol8,9.0159279376162,5.76304506873833,1.44516433802515,3.04186943857322e-06,0.00024860945432339
Trim10,35.9222279349572,5.72898482779255,0.999548505728642,1.73401205024948e-09,4.25158079570545e-07
Btnl10,8.683621212878,5.72252195682098,1.43672778939359,3.13862156613207e-06,0.000253872420699713
Rsad2,36.2726840423917,5.71172267153345,1.03562432641338,6.03508799219256e-09,1.27976487531737e-06
Cldn13,34.7593649733072,5.70515751667399,0.972426219266442,7.92486002900877e-10,2.1440845444001e-07
Klf1,25.5575141453642,5.69591350853594,1.13872991807045,8.83700290267894e-08,1.30820990140413e-05
Hemgn,51.7683991657693,5.68788011492728,0.778534613712375,5.17946985625444e-14,2.70920803281149e-11
Ypel4,9.36463676006553,5.67201843862481,1.6071268396791,8.16748518496339e-06,0.000562123585624761
Mfsd2b,8.35589327553629,5.62672093087379,1.49252348910857,5.25228531927337e-06,0.000396244525144412
Hbb-bt,466.493036047404,5.54452886881409,0.727231862549241,5.10311547618804e-15,3.07992646355164e-12
Tspan33,30.5694292583347,5.53034150101475,0.964927765112732,1.98588691838382e-09,4.45179107475413e-07
Slc6a9,8.02233656648212,5.51619612052369,1.56330803802645,8.74462937879328e-06,0.000596611844400105
Tspo2,8.19077932254947,5.49582543732177,1.61777201643715,1.10739617410932e-05,0.000724052531838478
Lmna,13.5265228105257,5.48895325713086,1.35577915935129,2.9907182757876e-06,0.000247001848335047
Fn3k,7.85547532851018,5.48228117450782,1.57228955112751,9.54799614872978e-06,0.000634860828668931
Gata1,12.8579936412117,5.37362624079546,1.41774973021648,5.61389202251484e-06,0.000419491398177633
Rab3il1,12.5244369321575,5.31026518982499,1.45464472890838,7.58635267008408e-06,0.000526747991588316
1300017J02Rik,7.18536464110075,5.22620055642436,1.7365782555855,2.24934160848416e-05,0.0013369950197096
Ryk,8.29320600319107,5.21335122248906,1.93654489366442,3.51958359124402e-05,0.00194469386316201
Samd14,6.51050939940511,5.10297412416104,1.73461658145398,2.59325648653207e-05,0.00149608017598019
Fam46c,16.8696456788691,5.04257763440577,1.25384586766959,3.8314600276122e-06,0.00030675138139434
Tal1,16.1972904058054,5.03807413677926,1.18659035953996,2.16424348593001e-06,0.000187191866835316
Epor,10.6945199129675,4.95947970331042,1.63071401989708,2.35417901894412e-05,0.00137842452109221
Tnfaip2,10.3569881235074,4.9549901314697,1.58755281361991,2.09146662484014e-05,0.00126228054911505
Ackr1,7.02025068811392,4.91674496622182,2.00992709807909,5.43560511361007e-05,0.00280577353430162
Pklr,5.84606171681843,4.82864129609285,1.87094303208179,4.69045748205603e-05,0.00246988787947729
Ank1,17.8669808220732,4.75814233971269,0.990361155357731,3.59150407557044e-07,4.33522168875779e-05
