tracking_id	locus	3_Leukemic_FPKM	5_Leukemic_FPKM	6_Leukemic_FPKM	7_Leukemic_FPKM	9_pre-leukemic_FPKM	8_pre-leukemic_FPKM	10_pre-leukemic_FPKM	11_pre-leukemic_FPKM
0610005C13Rik	chr7:45567794-45589710	0.01	0.0898211	0.01	0.01	0.01	0.01	0.01	0.01
0610007P14Rik	chr12:85815454-85824545	31.0667	37.7451	30.5707	65.6494	31.8208	34.4545	33.2771	27.2609
0610009B22Rik	chr11:51685384-51688634	14.603	14.9858	12.1555	15.9868	11.7626	15.2367	12.1074	14.6356
0610009L18Rik	chr11:120348677-120351190	1.067	1.8318	1.8923	2.0808	0.655317	1.12876	1.06295	1.06027
0610009O20Rik	chr18:38238404-38262629	32.4397	31.9144	23.9829	28.8105	30.5161	29.9059	32.6985	33.1245
0610010B08Rik	chr2:175185164-175338212	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0610010F05Rik	chr11:23573775-23633631	8.24707	7.7791	8.37509	9.10135	7.02912	7.16247	7.13568	6.13972
0610010K14Rik	chr11:70235203-70237914	73.815	71.7994	44.3936	78.1842	59.8505	60.1752	66.3784	58.9003
0610011F06Rik	chr17:25875499-25877163	31.195	32.0272	29.8029	26.6915	15.6092	15.2819	20.0796	15.8192
0610012G03Rik	chr16:31947050-31948521	16.9775	15.9567	16.7903	18.7559	13.5963	15.3027	11.6546	12.778
0610030E20Rik	chr6:72347316-72353160	9.94122	11.3814	11.7029	9.97811	14.4088	15.5296	14.773	15.1416
0610031O16Rik	chr3:138210716-138239663	0.206462	0.205668	0.196558	0.01	0.659727	0.325314	0.470706	1.064
0610037L13Rik	chr4:107889898-107897802	17.9539	18.7803	13.6548	17.7916	18.5771	16.4044	15.7917	18.0553
0610038B21Rik	chr8:77250365-77518578	0.196576	0.194685	0.186519	0.220656	0.103664	0.204907	0.109724	0.0555385
0610039H22Rik	chr11:88339381-88718267	0.121164	0.120931	0.01	0.183034	0.01	0.01	0.01	0.01
0610039K10Rik	chr2:163623272-163645800	0.258086	0.256617	0.409072	0.517474	0.730753	0.180292	0.584474	0.196209
0610040B10Rik	chr5:143329307-143332704	2.34493	0.791737	1.00182	0.400855	1.71412	1.96012	1.26425	2.79354
0610040F04Rik	chr6:108577035-108666925	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0610040J01Rik	chr5:63812494-63899619	9.36002	0.231499	8.94956	2.97301	0.697984	1.09605	1.30109	1.36295
0610043K17Rik	chr4:101346523-101399185	0.01	0.153011	0.291807	0.01	0.01	0.484905	0.01	0.01
1010001N08Rik	chr18:11042036-11085635	0.01	0.241863	0.01	0.01	0.01	0.01	0.01	0.01
1110001J03Rik	chr6:38534860-38539449	58.653	53.8843	48.8938	63.8768	25.6061	32.3498	32.7287	29.0551
1110002L01Rik	chr12:3365131-3426747	2.57103	6.1386	5.24979	9.0197	5.32955	5.75445	4.81815	4.89643
